spot_horizon,put_price_horizon,value_unhedged,value_protected,loss_unhedged,loss_protected
765.1537053953958,12.606423618061916,76515.37053953958,77776.01290134578,321.62897217916907,414.4777837612928
765.2910102086001,12.558494807070119,76529.10102086002,77784.95050156703,307.89849085872993,405.54018354004074
765.4214001455407,12.513118983590443,76542.14001455407,77793.45191291311,294.85949716468167,397.03877219396236
765.5531565196835,12.467406280888811,76555.31565196835,77802.05628005724,281.68385975039564,388.434405049833
765.6842941266028,12.422047506564816,76568.42941266028,77810.63416331676,268.5700990584737,379.85652179030876
765.7992851327401,12.38238862600662,76579.92851327402,77818.16737587468,257.07099844473123,372.3233092323935
765.9261840121131,12.338748325860315,76592.61840121131,77826.49323379734,244.38111050744192,363.9974513097259
766.0625294413398,12.292006924804905,76606.25294413399,77835.45363661447,230.7465675847634,355.0370484925952
766.1948370163115,12.246796783105355,76619.48370163115,77844.16337994169,217.51581008759968,346.3273051653814
766.3103158243101,12.207456164292683,76631.03158243101,77851.77719886028,205.96792928774084,338.71348624679376
766.4439989811516,12.162053191457062,76644.39989811515,77860.60521726086,192.5996136035974,329.8854678462085
766.5774116517697,12.116892075761024,76657.74116517697,77869.43037275306,179.2583465417847,321.0603123540059
766.7005216220649,12.07535220978746,76670.05216220648,77877.58738318524,166.94734951226565,312.9033019218332
766.84005552463,12.028426660448863,76684.005552463,77886.84821850789,152.99395925574936,303.6424665991799
766.9894944861271,11.978355083782217,76698.94944861271,77896.78495699093,138.05006310604222,293.70572811613965
767.1205038294737,11.934617042049592,76712.05038294737,77905.51208715234,124.9491287713754,284.9785979547305
767.2436977620623,11.893624058121555,76724.36977620624,77913.73218201839,112.62973551251343,276.75850308868394
767.3561384903466,11.856324772962665,76735.61384903465,77921.24632633092,101.38566268410068,269.2443587761518
767.5026002883291,11.80790618334508,76750.26002883291,77931.05064716742,86.73948288583779,259.44003793965385
767.6668661798219,11.753826990737812,76766.6866179822,77942.06931705598,70.31289373655454,248.42136805108748
767.794608936483,11.711937489022956,76779.4608936483,77950.6546425506,57.538618070451776,239.83604255647515
767.9336557072171,11.666506909508556,76793.36557072171,77960.01626167257,43.633940997038735,230.47442343449802
768.0711873731148,11.62174228963344,76807.11873731148,77969.29296627482,29.8807744072692,221.19771883224894
768.1869299923426,11.584202159791191,76818.69299923426,77977.11321521338,18.30651248448703,213.37746989369043
768.3314326550998,11.537504836468953,76833.14326550998,77986.89374915688,3.8562462087720633,203.59693595019053
768.4758338967375,11.491013013623975,76847.58338967375,77996.68469103615,-10.583877954995842,193.80599407092086
768.5986381695254,11.451574707148271,76859.86381695254,78005.02128766736,-22.86430523378658,185.4693974397087
768.724925032177,11.411112290395563,76872.4925032177,78013.60373225725,-35.49299149894796,176.88695284981804
768.8605488371713,11.36776513117183,76886.05488371714,78022.83139683431,-49.05537199838727,167.65928827275638
768.9774154256946,11.330502025229395,76897.74154256946,78030.7917450924,-60.74203085071349,159.69894001467037
769.1201173015282,11.285113358522034,76912.01173015282,78040.52306600503,-75.01221843407257,149.96761910204077
769.2443590005479,11.245696890466082,76924.43590005478,78049.00558910139,-87.43638833603472,141.48509600567922
769.3782186627591,11.203334223575569,76937.8218662759,78058.15528863345,-100.82235455715272,132.33539647361613
769.5228659134306,11.157680600835677,76952.28659134306,78068.05465142663,-115.28707962430781,122.43603368043841
769.6613759466497,11.11408414070654,76966.13759466498,78077.54600873563,-129.13808294622868,112.9446763714368
769.8103855627195,11.067314567623795,76981.03855627195,78087.77001303433,-144.0390445531957,102.72067207274085
769.9752311616277,11.015734108283409,76997.52311616277,78099.09652699111,-160.5236044440244,91.39415811595973
770.1115900713029,10.973194269683773,77011.15900713029,78108.47843409867,-174.1594954115426,82.01225100840384
770.2679678562372,10.924551290313753,77026.79678562372,78119.25191465509,-189.79727390497283,71.23877045197878
770.3818943679619,10.889209144928389,77038.1894367962,78127.11035128903,-201.18992507744406,63.380333818044164
770.5191978818439,10.846722779620412,77051.91978818439,78136.59206614643,-214.92027646563656,53.89861896063667
770.6909139720327,10.793754298669825,77069.09139720327,78148.46682707025,-232.0918854845222,42.02385803681682
770.8465736625487,10.745898924972272,77084.65736625488,78159.2472587521,-247.65785453612625,31.243426354965777
770.9767818638522,10.705985712834252,77097.67818638522,78168.27675766865,-260.67867466647294,22.213927438424435
771.1122502374106,10.664574009904925,77111.22502374106,78177.68242473155,-274.2255120223126,12.80826037551742
771.2280019914091,10.629281845959287,77122.80019914091,78185.72838373684,-285.800687422161,4.762301370225032
771.352019077299,10.59156427699593,77135.2019077299,78194.3583354295,-298.20239601115463,-3.8676503224269254
771.4782781225348,10.553265717423857,77147.82781225348,78203.15438399588,-310.828300534733,-12.663698888805811
771.5956302133753,10.51776042845787,77159.56302133753,78211.33906418331,-322.56350961877615,-20.848379076240235
771.7275726613063,10.47794633635125,77172.75726613063,78220.55189976576,-335.75775441188307,-30.061214658693643
771.8586944576617,10.438490884960212,77185.86944576618,78229.7185342622,-348.8699340474268,-39.22784915512602
772.0196434837595,10.390211964009506,77201.96434837596,78240.98554477691,-364.96483665720734,-50.49485966983775
772.185445430833,10.340652809355332,77218.5445430833,78252.60982401884,-381.54503136455605,-62.119138911773916
772.3227566941816,10.299744940520766,77232.27566941816,78262.25016347023,-395.27615769940894,-71.75947836316482
772.43757466296,10.265632650019207,77243.757466296,78270.32073129792,-406.757954577246,-79.83004619085114
772.5947713294538,10.219069482896764,77259.47713294538,78281.38408123505,-422.4776212266297,-90.89339612798358
772.7344001556295,10.177845969554232,77273.44001556296,78291.22461251837,-436.4405038442055,-100.73392741130374
772.8980832185837,10.129684087179129,77289.80832185836,78302.77673057628,-452.80881013961334,-112.2860454692127
773.04737737845,10.085910179378473,77304.737737845,78313.32875578284,-467.7382261262537,-122.83807067577436
773.1842822023787,10.045898617302976,77318.42822023787,78323.01808196817,-481.4287085191172,-132.5273968611
773.3300040903274,10.003446964701498,77333.00040903274,78333.34510550289,-496.000897313992,-142.8544203958154
773.4665888805741,9.96378555547201,77346.65888805741,78343.03744360461,-509.6593763386627,-152.5467584975413
773.5899539110975,9.928070007762066,77358.99539110975,78351.80239188595,-521.9958793910046,-161.3117067788844
773.7352373668855,9.886139571312457,77373.52373668854,78362.1376938198,-536.5242249697912,-171.64700871272362
773.8530834035174,9.852232032798536,77385.30834035174,78370.53154363159,-548.3088286329876,-180.0408585245168
773.9869377152033,9.813831948077747,77398.69377152034,78380.07696632811,-561.6942598015885,-189.58628122103983
774.1149963185502,9.777207798323477,77411.49963185503,78389.22041168738,-574.5001201362757,-198.7297265803063
